district_name,district_id,candidate_id,candidate_name,surname,first_name,party_code,ballot_order,votes
Mount Ommaney,58,283,"Pugh, Jessica",Pugh,Jessica,ALP,4,13776
Mount Ommaney,58,998,Exhausted,Exhausted,Exhausted,EXH,998,1001
Mudgeeraba,59,285,"Bates, Ros",Bates,Ros,LNP,2,16151
Mudgeeraba,59,288,"Leader, Georgi",Leader,Georgi,ALP,5,10337
Mudgeeraba,59,998,Exhausted,Exhausted,Exhausted,EXH,998,2862
Mulgrave,60,291,"Pitt, Curtis",Pitt,Curtis,ALP,2,15516
Mulgrave,60,292,"Quick, Robyn",Quick,Robyn,LNP,3,9205
Mulgrave,60,998,Exhausted,Exhausted,Exhausted,EXH,998,1927
Mundingburra,61,295,"Crisafulli, David",Crisafulli,David,LNP,1,11733
Mundingburra,61,298,"O'Rourke, Coralee",O'Rourke,Coralee,ALP,4,13104
Mundingburra,61,998,Exhausted,Exhausted,Exhausted,EXH,998,1594
Murrumba,62,300,"Whiting, Chris",Whiting,Chris,ALP,2,18934
Murrumba,62,301,"Gulley, Reg",Gulley,Reg,LNP,3,14079
Murrumba,62,998,Exhausted,Exhausted,Exhausted,EXH,998,1360
Nanango,63,304,"Frecklington, Deb",Frecklington,Deb,LNP,2,16491
